,SingIndex AI
2000,0.5124054719728219
2001,0.5220435714610219
2002,0.57041058873853
2003,0.6662621866825079
2004,0.7166081750187114
2005,0.802393449448935
2006,0.9025199388440228
2007,0.8765590145195853
2008,0.9723104087563724
2009,0.9931896258770275
2010,0.9587800232750155
2011,0.9195913433892577
2012,0.9102426845393644
2013,0.9684313615590782
2014,1.1023900028842628
2015,1.1682616237019814
2016,1.3459688824706428
2017,1.5331422726925954
2018,1.8725124499194388
2019,2.4238313301551857
2020,3.4239048334760454
2021,3.5158796626305358
2022,4.075938411510376
2023,4.641210671684208
2024,5.208804733576173
2025,5.781360119139519
2026,6.353915504702865
2027,6.926470890266211
2028,7.499026275829557
2029,8.071581661392903
2030,8.64413704695625
