,SingIndex Networks
2000,
2001,0.7272727272727273
2002,0.7662337662337663
2003,0.7922077922077922
2004,0.8441558441558441
2005,0.6852767969309171
2006,0.606387866242935
2007,0.5189113961289114
2008,0.4709952663656889
2009,0.4208804764610531
2010,0.5829728964720748
2011,0.6773099862546457
2012,0.8175317854325572
2013,0.9011116946502136
2014,0.8028973048297322
2015,0.8669366516871292
2016,1.05824561849037
2017,inf
2018,
2019,1.8911630045671362
2020,2.397154985395481
2021,3.3197151405959557
2022,4.17284236941311
2023,5.08474206982251
2024,5.9971801687436175
2025,6.711901698346753
2026,7.592672870197866
2027,8.492894370394223
2028,9.402812105029215
2029,10.32504429920863
2030,11.269534113020464
