,SingIndex Biotech
2000,0.49160749255002123
2001,0.505787037037037
2002,0.5199665815240527
2003,0.2594613335571313
2004,0.45776333090809845
2005,0.5344070058022916
2006,0.5732035455508492
2007,0.6239415843319597
2008,0.7083457318703621
2009,0.9144416462378228
2010,0.9391641168221754
2011,1.0777163021165128
2012,1.2081246862236965
2013,1.3882542234547472
2014,1.6668542895927922
2015,1.9533014485664124
2016,1.780296649903262
2017,2.0522988259600576
2018,2.0202670005462573
2019,2.1423954003364254
2020,2.25501624556516
2021,2.3795390683383046
2022,2.485422548458233
2023,2.585059182536169
2024,2.6846958166141053
2025,2.7843324506920415
2026,2.8839690847699777
2027,2.983605718847914
2028,3.08324235292585
2029,3.1828789870037864
2030,3.2825156210817226
