Years,Number of R&D firms active in biotechnology (USA),Number of R&D firms active in biotechnology (France),Number of biotech firms active (Germany),Number of biotech firms active (Spain),Total U.S. pharmaceutical and biotech revenues for products 5 years after launch from 2007 to 2019 (in billion U.S. dollars),Production value of the biotech industry in Spain (millions euros),Production value of the biotechnology industry as a share of GDP in Spain from 2010 to 2018 (percentage),Value of the NASDAQ biotech Index (2000-2018),Market size of the biotechnology in the UK in £ million (visual estimation on chart),Number of businesses in global biotechnology over time (visual esstimation on chart),Estimate market for high throughput screening systems (USD billion),Capital invested (USD billion) for US biotech startups ,Number of deals closed for US biotech startups ,The cost saving (USD billion) of the generic drug prices over time (visual estimation on chart),Saving through generic drug usage in the United states from 2008 to 2019 (in billions USD),Average year to year change in pricing of mature generic drugs (Percentage) (visual estimate),Average R&D expense (million USD),The annual value of acquisitions of American biotech and pharmaceutical companies (billion USD) (visual estimation),The projected volumetric capacity needed to meet annual commercial and clinical demand for all product types produced using mammalian-cell systems (1000L) (visual estimation on chart),Estimated manufacturing capacity for products based on manmmalian-cell culture (1000L) (visual estimation on chart),Total number of Human Genomes sequenced (visual estimation on chart - log),DNA sequencing amount (Kilobases per day per machine) (visaul estimation on chart - log),Cost per base of the dna sequencing (USD) (visual estimation),Cost per base of the dna short oligo (USD)(visual estimation),Cost per base of the gene synthesis (USD)(visual estimation),Number of published articles regarding biomedical engineering in Turkey (Scopus) (visual estimation on chart),Number of publications with biofilms in the title of the articles (google scholar) (visual estimation on chart),Number of mentions of high-throughput dna sequencing (google scholar),Bionedical Engineering Employment (2000-2009) (visual estimation)
1995,,,,,,,,,,,,,,,,,,20,,,,2.301029996,1,0.9,,,,369,
1996,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,
1997,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,
1998,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,
1999,,,,,,,,,,,,,,,,,,165,,,,,,,,,,,
2000,,,,,,,,1085,,,,,,,,,,30,,,,2.903089987,0.5,0.6,50,50,,3880,6600
2001,,,,,,,,,,,,,,,,,,50,,,,,,,,65,,,6800
2002,,,,,,,,,,,,,,,,,,65,,,,,,,,95,,7290,6900
2003,,,,,,,,,,,,,,,,,,25,,,,,,,6,100,,,7000
2004,,,,,,,,,,,1.255,,,75,,,,15,,,,,,,,145,,11600,8800
2005,,,,,,,,790,,,1.349,,,80,,,,48,,,,4.903089987,0.06,0.1,1,130,300,,11500
2006,,,551,,,,,,,,1.45,,,90,,,,52,,,0.477121255,,,,,180,260,15700,14000
2007,,,587,,4.3,,,,,,1.559,,,105,,,,65,,,0.477121255,,,,,180,270,,15000
2008,,1068,593,1181,5.6,,,,,,1.676,1.4,159,130,97.3,,,100,,,1,,,,,210,500,18400,14850
2009,,1379,645,1521,5.4,,,,,,1.802,1.9,177,160,118.2,,,162,,,2,,,,,220,580,,14760
2010,,1631,663,1715,12.5,6225,0.6,970,,,,2.1,211,175,133.5,,,75,,,3,6,0.0005,0.08,0.5,260,600,23100,
2011,,1638,678,3025,11.9,7038,0.7,,8200,6900,,2,222,190,153.2,,,51,,,4.698970004,,,,0.4,290,740,,
2012,,1944,693,3070,13.3,7045,0.7,,8500,7000,,2,252,210,166.8,,,55,,,,,,,0.3,285,760,34500,
2013,,1884,700,2831,14.2,6368,0.6,,8900,7100,,2.4,287,240,194.8,,,140,,,,,,,,260,750,,
2014,2673,1805,710,2724,25.5,7664,0.7,,9200,7200,,3.5,329,,202.1,17,,205,,,,,,,,330,840,48500,
2015,3418,1882,726,2981,24.9,8777,0.8,3540,9800,7600,,5.7,351,,220.5,20,,255,,,,,,,,410,850,,
2016,2562,2011,752,2767,9.7,8787,0.8,2773,10300,7800,,5.6,346,,242.6,0,185,70,,,,,,,,480,1000,57800,
2017,1772,2082,787,,32.3,9315,0.8,3357,11400,8000,,9,402,,265.1,-7,191,90,,,,,,,,475,1000,57500,
2018,2470,2083,820,,27.4,9861,0.8,3044,12100,8200,,,,,292.6,,232,100,2500,4400,,,,,,425,950,54500,
2019,,,,,23.8,,,,13000,8600,,,,,313.1,,283,,2549,4712,,,,,,,,48800,
2020,,,,,,,,,13900,8800,,,,,,,,,2973,5362,,,,,,,,38000,
2021,,,,,,,,,,,,,,,,,,,3185,5850,,,,,,,,,
2022,,,,,,,,,,,,,,,,,,,3715,6175,,,,,,,,,
2023,,,,,,,,,,,,,,,,,,,4240,6400,,,,,,,,,
