Year ,IBM revenue worldwide on cloud and cognitive software segment in billion USD,Global PC penetration per capita from 2000 to 2015 (in percentage),Cloud system management software revenue worldwide from 2010 to 2015 (in millions USD),Forecast total quantum computer revenue (Million USD) (visual estimate),Estimate quantum computing marketsize (million USD) visual estimate,Forecast sales of notebook 2021 to 2025 (Million units),Information technology (IT) spending on enterprise software worldwide from 2009 to 2022 (billion USD), Market of SaaS industry (in billion USD) forcast 2018-2020,Number of deals in quantum computing by quantum technology firms from private investors ,Number of deals in quantum communication by quantum technology firms from private investors,Number of deals in quantum software by quantum technology firms from private investors,Total value of deals (million USD) by quantum technology firms from private investors ,Number of qubits achieved in quantum computers from 1998-2019,Number of hyperscale data centre worldwide over time,Cloud computing traffic forecast (EB per year),Max computer RAM capacity over years (in MB),USD per GB of DRAM over years (visual estimation),Seagate's average capacity of hard disk drives (HDDs) worldwide over years (TB),USD per TB of Enterprise SSD thorugh years (visual estimate),Unadjusted Consumer Price Index for computer software and accessories expenditure in the U.S. from 2003 to 2017 (CPI-W),Share of household with a computer at home worldwide from 2005 to 2009 (percentage),Publications with the word 'quantum computing' in full text search worldwide,Publications with the word 'process computing' in full text search worldwide,Publications with the word 'cloud computing' in full text search worldwide
1990,,,,,,,,,,,,,,,,,0.000425,,,,,,,
1991,,,,,,,,,,,,,,,,,,,,,,,,
1992,,,,,,,,,,,,,,,,,,,,,,,,
1993,,,,,,,,,,,,,,,,,,,,,,,,
1994,,,,,,,,,,,,,,,,,,,,,,,,
1995,,,,,,,,,,,,,,,,,0.009444444444444445,,,,,,,
1996,,,,,,,,,,,,,,,,,,,,,,,,
1997,,,,,,,,,,,,,,,,,,,,,,,,
1998,,,,,,,,,,,,,0.07142857142857142,,,,,,,,,,,
1999,,,,,,,,,,,,,,,,,,,,,,,,
2000,,0.4,,,,,,,,,,,0.42857142857142855,,,,0.85,,,,,,,
2001,,0.5333333333333333,,,,,,,,,,,,,,,,,,,,,,
2002,,0.5333333333333333,,,,,,,,,,,,,,,,,,,,,,
2003,,0.6666666666666666,,,,,,,,,,,,,,,,,,0.6848341232227488,,,,
2004,,0.6666666666666666,,,,,,,,,,,,,,,,,,0.7225,,,,
2005,,0.8,,,,,,,,,,,,,,,1.2142857142857144,,,0.755226480836237,0.6642335766423357,,,
2006,,0.8,,,,,,,,,,,0.42857142857142855,,,0.032,,,,0.8210227272727274,0.7104622871046228,,,
2007,,0.9333333333333333,,,,,,,,,,,,,,0.064,,,,0.875934532228733,0.7493917274939172,,,
2008,,1.0666666666666667,,,,,,0.0879886057920557,,,,,1.0,,,0.144,,,,0.8787755929454694,0.8077858880778589,,,
2009,,1.2,,,,,0.7091509433962264,0.12802658648520335,,,,,,,,0.256,,,,0.8990045624222315,0.8613138686131386,,,
2010,,1.3333333333333333,0.15896768175369727,,,,0.7693081761006288,0.21205887007437887,,,,,,,,0.384,4.25,,,1.0,0.9075425790754257,,,
2011,,1.4666666666666666,0.2930602250422683,,,,0.8459119496855346,0.3356543756923564,,,,,,,,0.5,,,,1.0195202257761053,0.953771289537713,,,
2012,,1.6,0.47029558660629267,,,,0.8962264150943396,0.5236588067732237,0.5,0.0,0.0,0.6865671641791045,,,,1.0,,,,1.1013719512195124,1.0,0.7440466137476778,0.7524846053671084,0.48427856602471364
2013,,1.8666666666666667,0.6980974405814564,,,,0.9339622641509434,0.7472701376800127,0.0,1.0,0.0,0.08955223880597014,,,,1.5,,,0.4,1.1805555555555556,1.0413625304136251,0.8435512019366098,0.8747470301976501,0.7011666644545611
2014,,2.0,0.8904522222438153,,,,0.9748427672955975,1.0,2.0,0.6666666666666666,1.0,1.0,,,,1.5,,,0.6923076923076923,1.2038322688142185,1.0681265206812651,1.2035129201148456,0.9833012874855253,1.0016458065115539
2015,,2.2666666666666666,1.1095477777561848,,0.5454545454545454,,0.9748427672955975,1.091944927994936,1.0,1.3333333333333333,1.0,0.26865671641791045,,0.6211031175059952,,2.0,85.0,0.5263157894736842,0.8999999999999999,1.21872364351982,1.0900243309002433,0.8682091988965828,0.9248612048036305,0.7563542731242451
2016,,,1.3778494665448822,,0.6818181818181818,,1.0251572327044025,1.3768001266023104,1.0,2.3333333333333335,0.6666666666666666,1.2835820895522387,,0.8105515587529976,0.6684749849306811,3.0,,0.631578947368421,1.5,1.2543402777777777,1.1143552311435523,0.9247311827956989,1.0,0.8499927000517633
2017,,,1.6262121771576268,,0.7272727272727273,,1.1603773584905661,1.677480614021206,5.0,0.3333333333333333,1.6666666666666667,4.149253731343284,1.7857142857142858,0.9256594724220624,0.8342374924653405,4.0,,0.8947368421052632,1.7999999999999998,1.3692356285533798,1.1289537712895377,1.0,1.12172852777888,1.0
2018,0.9702927042376583,,2.166430223293235,,0.9090909090909091,,1.3176100628930818,1.9623358126285806,3.0,2.3333333333333335,4.666666666666667,2.582089552238806,1.75,1.0743405275779376,1.0,4.0,,1.0,2.25,,1.143552311435523,1.219838991161403,1.2785355348169418,1.210915413508886
2019,1.0,,2.8928620012826243,,1.0909090909090908,,1.5,2.2313657224244343,,,,,3.7857142857142856,1.20863309352518,1.1612417118746232,,,,,,1.145985401459854,1.2646512413443676,1.3782552388648195,1.3740493476500804
2020,1.0214067278287462,,,0.5,1.3636363636363635,,1.6635220125786163,2.4845703434087674,,,,,,1.4316546762589928,1.334840265220012,,,5.2631578947368425,1.0,,,1.6017564600574228,1.6115069244283153,1.6539028177800195
2021,,,,0.5,1.8181818181818181,1.0101656626506024,1.8836477987421383,,,,,,,,,,,7.789473684210527,,,,,,
2022,,,,0.6,2.24,0.9856927710843373,2.1037735849056602,,,,,,,,,,,10.105263157894736,,,,,,
2023,,,,1.0,,0.9894578313253012,,,,,,,,,,,,,,,,,,
2024,,,,1.7,,1.0,,,,,,,,,,,,,,,,,,
2025,,,,2.6,,1.0297439759036144,,,,,,,,,,,,,,,,,,
2026,,,,4.4,,,,,,,,,,,,,,,,,,,,
