,SingIndex Health
2000,0.9209679741807704
2001,0.9290842401536018
2002,0.9372005061264332
2003,0.9413519055496126
2004,0.9518659774750117
2005,0.9696056629937165
2006,0.9880197918796149
2007,1.0065596659858422
2008,1.0230894095127832
2009,1.0505297340771198
2010,1.067201324482858
2011,1.0953034384172153
2012,1.1162583263104833
2013,1.1389162919289095
2014,1.1599770851898574
2015,1.172873578644068
2016,1.1866114345799093
2017,1.2057589837941987
2018,1.2177393713283267
2019,1.2312902999345463
2020,1.244841228540766
2021,1.2583921571469856
2022,1.2719430857532052
2023,1.285494014359425
2024,1.2990449429656445
2025,1.3125958715718642
2026,1.3261468001780838
2027,1.3396977287843035
2028,1.3532486573905231
2029,1.3667995859967428
2030,1.3803505146029624
