,SingIndex
2000,0.6472806891617865
2001,0.6525916024881274
2002,0.6860750773944302
2003,0.7123842879752474
2004,0.7751730472912957
2005,0.8160917157665102
2006,0.8419640890489913
2007,0.900293840751997
2008,0.9431543218467058
2009,0.9796425546801353
2010,1.0139688886437608
2011,1.2918677205939333
2012,1.3344281986400048
2013,1.4908299894549848
2014,1.7043334335719453
2015,1.80597150850013
2016,1.925607608863913
2017,2.198617772614142
2018,2.364688146202267
2019,2.611169436784763
2020,2.8895543014519927
2021,3.141359773824319
2022,3.4787882412093794
2023,3.8275038084909223
2024,4.19677233974885
2025,4.529675049152697
2026,4.8908799691532
2027,5.242949113906382
2028,5.604216411752117
2029,5.9668697891483715
2030,6.332005138526577
