Date,Access to clean fuels and technologies for cooking (% of population),Access to electricity (% of population),GDP growth (annual %),"Government expenditure on education, total (% of government expenditure)",Individuals using the Internet (% of population),"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)","Life expectancy at birth, total (years)","Literacy rate, adult total (% of people ages 15 and above)","Patent applications, residents",People using safely managed drinking water services (% of population),People using safely managed sanitation services (% of population),Population ages 65 and above (% of total population),Proportion of seats held by women in national parliaments (%),Ratio of female to male labor force participation rate (%) (modeled ILO estimate),Research and development expenditure (% of GDP),"School enrollment, primary (% gross)","School enrollment, primary and secondary (gross), gender parity index (GPI)",Scientific and technical journal articles,Strength of legal rights index (0=weak to 12=strong),"Unemployment, total (% of total labor force) (modeled ILO estimate)"
1972,,,1.9071759468798024,,,,0.8973222822427668,,,,,0.8206667771018581,,,,0.908313426121188,0.8779496430917939,,,
1973,,,2.1697521333199035,,,,0.904110075174154,,,,,0.8285887822164515,,,,0.9360629201757783,0.8794864085346161,,,
1974,,,0.6423156285448994,,,,0.9115380851526502,,,,,0.8361288491035201,,,,0.9463877485407859,0.8812458936068329,,,
1975,,,0.2367029347723457,,,,0.9182351614643045,,,,,0.8435932419806628,,,,0.9598654177904651,0.9077718014677222,,,
1976,,,1.7826966849539136,,,,0.9246093433250065,0.8404611761674144,,,,0.8556168946507899,,,,0.9659784304287842,0.9221149456007304,,,
1977,,,1.3260417333844865,,,,0.9309912632372004,0.8428695714886916,,,,0.8673880288017525,,,,0.9659555560078936,0.9268031937994855,,,
1978,,,1.306420339764782,,,,0.936423066874149,0.8488143302979979,,,,0.878039678816196,,,,0.9536904326021565,0.9315916658314679,,,
1979,,,1.376608613003473,,,,0.9418743095178864,0.8544787021532267,,,,0.8861440766708727,,,,0.9593110909652739,0.9341083976436263,,,
1980,,,0.6167533492928811,,,,0.9461846088183261,0.8580697822448431,,,,0.8910405026624747,,,,0.9728006508830812,0.934687468680052,,,
1981,,,0.6191654612155939,,,,0.9513153653183438,0.8650860676120725,,,,0.896269778201176,,,,0.981954349205847,0.9330504794040022,,,
1982,,,0.17616539679901844,,,,0.9562300268721292,0.8714334872835138,,,,0.8975915371077446,,,,0.9866405824371709,0.9302776200180403,,,
1983,,,0.7955664063509389,,,,0.9599657986224529,0.8782557248843365,,,,0.896953837580179,,,,0.987785815007303,0.9315805298499983,,,
1984,,,1.4804948391668482,,,,0.9639488113037449,0.8849260783735329,,,,0.8966883766667993,,,,0.9915625128952029,0.9309457789062238,,,
1985,,,1.2173271693831433,,,,0.9678264456751884,0.8909411734112194,0.5478521961042518,,,0.8979936791332905,,,,0.9954461260278816,0.9323711845343489,,,
1986,,,1.135741496436757,,,,0.9723492674363517,0.8964847087371584,0.5676385210959615,,,0.9035727874636345,,,,1.0094340863233284,0.9477722469069811,,,
1987,,,1.220146577492254,,,,0.9761293999198261,0.9038502799080781,0.6017082946850384,,,0.9096661528176996,,,,1.001373019479484,0.9548435951402576,,,
1988,,,1.5327940837356218,,,,0.9792000934243129,0.9251930342488963,0.6131393789679583,,,0.9163708841291396,,,,1.0071824170070414,0.9582734774329335,,,
1989,,,1.2337225420002182,,,,0.9823991673958378,0.9306520509748285,0.6290160184166134,,,0.9237638829046237,,,,1.0090572126046928,0.9619483513179433,,,
1990,,,0.9859817947014083,,0.0037429951950766842,1.0237410896795913,0.9851989762493586,0.933418835666124,0.6504856468643216,,,0.9316655741426508,,0.9952313640797541,,1.0054910198500093,0.9661020724061515,,,
1991,,,0.4993802419374757,,0.006019549881856638,1.023336258574581,0.9879863364355649,0.9404596524316241,0.6568475967569074,,,0.9427572070433765,,0.9956104195614667,,0.9986269805205161,0.9736299958796868,,,1.1865488004024367
1992,,,0.5882604199309538,,0.009530449323137898,1.0230801328288714,0.9902691182385404,0.9460627914991997,0.7290842636959144,,,0.9548806102298258,,0.9966399352791916,,0.992171254642336,0.9799886412989008,,,1.1547687769880954
1993,,,0.4940507061243789,,0.01360042260612689,1.0208303390996407,0.9919910981111143,0.9514304860657868,0.7502979723462438,,,0.9667607064149222,,0.9964872231086501,,0.9912402556352572,0.985077784830566,,,1.0899535340447595
1994,,,0.9755382218637565,,0.027360518724130985,1.0215142812358589,0.9950537305994945,0.9567332104589642,0.7361659129247908,,,0.977563364385141,,0.9998229535838412,,0.990234688031443,0.9927282041002683,,,1.0382568996818833
1995,,,1.0,,0.051806075927039556,1.0197327630016995,0.9978609268357015,0.9618680477812243,0.7981741984784186,,,0.9867469644331391,,1.0012600483129468,,0.990962437228231,0.9979955233354492,,,1.012890184915616
1996,,,1.1358393255042787,,0.10061350565924725,1.0177865336054324,1.0021390731642985,0.9670741795425087,0.8106445814690036,,,1.0,,1.0023712511602865,0.9699123063380973,0.983306056174237,1.0020044766645508,,,1.001241470267127
1997,,,1.2274783110765073,,0.15504856593919186,1.0164296434412674,1.0064295504173995,0.9926046268954614,0.8301125085907349,,,1.0105797888350023,0.624117679883836,1.0038033989316322,0.9672455336817934,0.9779714792248111,1.0091537767681154,,,0.9987616045950215
1998,,0.8834388868372404,0.8475132108363312,,0.23843746284993442,1.014355036576436,1.0100924440354988,1.0073953731045386,0.8474501737371019,,,1.0197472061272175,0.6977088517178833,1.004821171041951,0.9756331125765177,0.9845901475636955,1.0167707880934085,,,0.9732608694338348
1999,,0.9014153303737785,1.0743457343311542,,0.35197931185581444,1.0141094590312427,1.0132148549403066,1.0117074481132684,0.894199391559693,,,1.0291140107445689,0.7216911910046209,1.0066706918091786,1.0122686304656128,0.9870509112559634,1.0241762157707768,,,0.9529943488135425
2000,0.9022624692684,0.9573412581358284,1.4650418578646247,0.9427529556178434,0.51192653071517,1.0121438330115937,1.017060409665673,1.013292123035972,0.9890314937545958,0.9348191961838853,0.7967545761732023,1.0394091290528324,0.7422066008969848,1.008201311249184,1.0130437784322726,0.9954425991347927,1.0259134288800542,0.5760138170865171,,0.9815551843688597
2001,0.9169546310955131,0.951086653510246,0.6465463910065312,1.0204875241160296,0.6126710500818737,1.0081993496095765,1.021166435729313,1.017285480780826,1.0,0.9416898988886918,0.8021729831077382,1.0521218059770012,0.7521490653696911,1.0073722945365557,1.0224193458825466,1.003455700232629,1.0300671499682623,0.5964951004881515,,0.9706855040670441
2002,0.9280700875878402,0.9653848549390586,0.7179811407543694,1.026828817420832,0.8003930797418076,1.0051976625266852,1.0249101113045742,1.0223338829561892,0.9917192523777713,0.958971391405248,0.80942932833223,1.0653257457567176,0.8112261301032739,1.007332121820146,1.0039782959154488,1.0062526272204502,1.0327954654283455,0.6223194576822928,,0.9323688751276357
2003,0.9388937683965338,0.9728158471039599,0.9766820647368009,1.0619272473202435,0.928217132530809,1.0023851533009038,1.0287625179990278,1.0289782675427466,1.0289814151764045,0.9707605588368887,0.8361143502403324,1.0781685040701712,0.8102525650717235,1.008401409338777,0.9984680910757032,1.0217943350740903,1.0520829853339124,0.6524156924183185,,0.9188618224298887
2004,0.9507691780011014,0.9746609415046572,1.4591738918976567,1.0022042320006126,1.071782867469191,1.0009139417345927,1.0336771401044547,1.0342536814881422,1.076100695429008,0.9756555581348133,0.8643629039721877,1.089040150139563,0.8485677349353131,1.007415228685087,0.9748375607692306,1.0267652389618702,1.053319079277052,0.7142738116976172,,0.9453518997045595
2005,0.9619377331997634,0.9746722901037134,1.2909048063762287,0.9872643513587155,1.1937734852795872,0.9990860582654075,1.0377074686827643,1.0331982537231348,1.1600628144929905,0.9804217345813122,0.8884782068816909,1.0973925473959907,0.8793965428678076,1.0076466787542915,0.9702085548119771,1.029924327485728,1.0584304947716565,0.8029007836448897,,0.9644786273770674
2006,0.975559361512181,0.9879211563599611,1.4457361117876129,0.9903938966616092,1.3291163838698117,0.9951623888416204,1.0428579928757034,1.0365353949314353,1.1989518101820034,0.9853728776626431,0.9247682186732014,1.1079736415992345,0.9058255659522759,1.004946969301979,0.9744972867534188,1.0308110891766353,1.0626510317486833,0.8464926228274625,,1.0170735883729378
2007,0.9873505114164285,0.9995159895942077,1.4298979982806994,0.9926343003759973,1.551751695804811,0.9928113197511961,1.04781624140266,1.0401874203098314,1.2672896050905211,0.9901851521592664,0.9543490716040669,1.1164126148753424,0.9538421071347982,1.0039718404828444,0.9583096667295685,1.0386055229029636,1.0673726878918472,0.895670447414883,,1.0625910885293115
2008,1.0,1.0004840104057924,0.6153910079623143,1.000795433701143,1.745383694819194,0.9892906782938463,1.052450478427626,1.0467561023618364,1.2979062636670784,0.9950141035651205,0.9844960757616134,1.1241658546108384,0.9844578197902687,1.0007717837160686,0.9901661485283562,1.0422493073056014,1.0748672034209734,0.9438700882181081,,1.0597028080854811
2009,1.0104057565670572,1.006329207414186,-0.5516748550782565,0.9900107159209242,1.9287548869221518,0.9855028147862235,1.057675529754403,1.0503180512924055,1.2920849894027577,1.0049858964348792,1.015503924238387,1.1330230023687229,1.0155421802097315,1.0001770464161588,1.0059504870786324,1.0410662865952316,1.082662390449782,1.0,,0.9479994912524168
2010,1.0239633504659875,1.0128331874608052,1.4269630593823959,0.9992045662988567,2.185913905040115,0.9810373786500516,1.062344169211046,1.055320744471284,1.394821769282896,1.0148176120270689,1.0468462435728878,1.144203883717983,1.0225856204386818,0.996349644455878,1.0047669487542779,1.039573906976784,1.0815599282842794,1.048304497064886,,0.9623529782857247
2011,1.034326932344951,0.9983978790126888,1.035135682580965,0.96299791321837,2.3679653447406537,0.9779381434590658,1.0672660806805276,1.0586132307273688,1.5517979266891908,1.024475033040373,1.078118756336307,1.1594428153194427,1.058388532403623,0.9932900807235585,1.0015319089242969,1.0429496475046705,1.0844330115034688,1.1023066309566945,,0.9850804097124422
2012,1.045481429253369,1.0303222894270663,0.8341664308376527,1.0139461945762878,2.6019004222644058,0.9754944043137771,1.0716033320932643,1.0642139740799315,1.7314548259505078,1.0338452043798756,1.1098210574964777,1.176534390457359,1.107894324053023,0.9906501225741629,1.0405867479829245,1.049790812413273,1.0883306050178732,1.1342779227319104,,0.9858092049733556
2013,1.0564915445457848,1.0337329829864588,0.8844097573742427,0.9962158028118243,2.7853999152873494,0.9727680171556259,1.0759865066651695,1.0667515429534309,1.9525815458997564,1.0430512137104206,1.1420851573011213,1.1958001263345455,1.1624607526093604,0.9896617849891055,1.0374185332544759,1.0481835568485034,1.104811857593069,1.1733918396608987,0.928687411062485,0.9879320947312409
2014,1.0656757278686393,1.0400420840136737,0.9515189788240364,0.9859532658346123,3.030145550466933,0.9703850719934172,1.0801920949653983,1.0721384026121166,2.0582175486487917,1.0521528226529113,1.1744875066761258,1.2179431309081294,1.184391510659013,0.9892605945632992,1.0319053305259132,1.0356479711270394,1.1073285894052272,1.2209521323538628,0.9538721544140044,1.0124610420885072
2015,1.0745543376611728,1.0525146206662852,0.9663542590600067,1.0124308001369764,3.169536178988142,0.9692416349452894,1.0832862048348393,1.0744207867651807,2.239822081673259,1.0611581410480855,1.2070337011529286,1.2433784232765384,1.2196752429921158,0.9895586846228753,1.039425572508513,1.0323024611113432,1.1079967482934108,1.2376478323205806,0.9812108559701841,1.0117395185048965
2016,1.083793514937759,1.0665083002594582,0.862581843535728,1.0330889178045652,3.4091725871640244,0.9681161249029194,1.0868048549276448,1.0799873202769983,2.557615596449323,1.0698695601273684,1.239017545285294,1.2742010933085168,1.2325966311611252,0.9903491187286166,1.0475009972696334,1.0471526963828235,1.1136649628615016,1.2818030263322973,1.0,1.0060097890633335
2017,1.095619446264108,1.0773002458872734,1.0862928918247168,1.0119026312307886,3.724868506419415,0.9682063754387229,1.0898876834699387,1.0829345453648214,2.598723765217015,1.0781308364987843,1.2708314593313659,1.3073323265055654,1.2592311654187327,0.9913211292829599,1.0561316048092744,1.0448773464986543,1.1109143754384792,1.3292877621058503,1.0615866388745798,1.0264029928970873
2018,1.1053802901377403,1.0872338012392848,1.004434157299476,1.0154158254888268,4.0522055058544355,0.9679857011792459,1.092639098372063,1.0832708946340044,2.757302725485767,1.0872830819749446,1.3159789466167553,1.341726094839856,1.2863232840860872,0.9918610976826943,1.0653173951274353,1.0194353474395286,1.0977405093597923,1.377788279969028,1.0934101367252635,1.060657180016705
2019,1.1149598841251998,1.09531964487313,0.7731929483659774,1.0190242556498703,4.340070970378675,0.9683500410067866,1.095244369151069,1.0861768186952692,2.5770102319858896,1.0966349255794814,1.3541378433544646,1.3757696753489548,1.3150799672973956,0.9932150684200823,1.0750583682241173,1.0237431954266072,1.0984198042294457,1.4122819606066503,1.1297533038036458,1.0604971342934744
2020,1.1243582282264861,1.0938724263669912,-1.1896235747243413,1.0229577702540238,4.637620778870522,0.9578208715370506,1.099397422205013,1.0948221656270876,2.8617591106858584,1.1061125995104775,1.3931583377844403,1.4089150943136748,1.3654606382819838,0.9822660084127458,1.0853545240993192,1.0407200647853934,1.128844114920691,1.449631599194888,1.1821401451995608,0.8804430698162855
